pc11_state_id,pc11_district_id,year,roads_completed,road_length_km
09,164,2006,17,21.880000000000006
09,164,2007,10,12.09
09,164,2008,14,17.28
09,164,2009,1,2.35
09,164,2011,2,4.35
09,165,2003,5,8.04
09,165,2004,1,0.65
09,165,2005,15,32.75
09,165,2006,1,3.2
09,165,2007,12,21.119999999999997
09,165,2008,16,22.379999999999995
09,165,2011,2,4.6
09,165,2012,1,1.85
09,166,2003,6,10.08
09,166,2004,1,0.27
09,166,2005,14,39.86
09,166,2008,42,91.96999999999998
09,167,2003,1,10
09,167,2004,3,9.25
09,167,2005,11,31.959999999999997
09,167,2006,8,28.6
09,167,2007,31,92.31
09,167,2008,12,26.200000000000003
09,167,2009,13,64.02
09,167,2012,7,16.92
09,167,2013,9,23.02
09,168,2003,10,26.3
09,168,2005,15,37.57
09,168,2007,5,13.549999999999999
09,168,2008,6,9.83
09,169,2003,6,16.45
09,169,2004,1,5.86
09,169,2005,11,30.1
09,169,2006,5,10.509999999999998
09,169,2007,13,61.23000000000001
09,169,2008,12,42.49999999999999
09,169,2011,1,2.5
09,170,2002,12,31.499999999999996
09,170,2003,1,1.6
09,170,2004,7,30.879999999999995
09,170,2005,6,23.58
09,170,2006,3,6.5200000000000005
09,170,2007,9,25.16
09,170,2008,13,40.14999999999999
09,170,2009,11,25.38
09,170,2010,29,78.16999999999997
09,170,2011,6,15.579999999999998
09,170,2012,9,38.35
09,171,2004,1,2.05
09,171,2005,2,6.4
09,171,2006,3,10.8
09,171,2007,1,5.9
09,171,2009,1,2.17
09,171,2010,3,8.4
09,171,2011,9,21.82
09,171,2012,3,5.43
09,171,2013,5,15.659999999999998
09,171,2014,1,1.08
09,172,2003,15,25.680000000000003
09,172,2004,2,7.63
09,172,2005,2,2.45
09,172,2006,1,3.5
09,172,2007,3,5.48
09,172,2008,13,22.680000000000003
09,172,2009,23,60.40000000000002
09,172,2010,14,64.19999999999999
09,172,2011,10,28.850000000000005
09,172,2012,3,10.8
